# n actual freq dirichlet
360 0.1666666269 0.1658055198 0.1555084153
720 0.1666666269 0.1658055198 0.1566218125
1080 0.1666666269 0.1658055198 0.1618008727
1440 0.1666666269 0.1658055198 0.1661130999
1800 0.1666666269 0.1658055198 0.1675345681
2160 0.1666666269 0.1658055198 0.1680597322
2520 0.1666666269 0.1658055198 0.1687057145
2880 0.1666666269 0.1658055198 0.1694255678
3240 0.1666666269 0.1658055198 0.1695750378
3600 0.1666666269 0.1658055198 0.1700840941
3960 0.1666666269 0.1658055198 0.1710192858
4320 0.1666666269 0.1658055198 0.1715932234
4680 0.1666666269 0.1658055198 0.1720828913
5040 0.1666666269 0.1658055198 0.1725851504
5400 0.1666666269 0.1658055198 0.1728277869
5760 0.1666666269 0.1658055198 0.1729732458
6120 0.1666666269 0.1658055198 0.1729763583
6480 0.1666666269 0.1658055198 0.1730260848
6840 0.1666666269 0.1658055198 0.1729031988
7200 0.1666666269 0.1658055198 0.1726695614
7560 0.1666666269 0.1658055198 0.1724172483
7920 0.1666666269 0.1658055198 0.1722199462
8280 0.1666666269 0.1658055198 0.1721372773
8640 0.1666666269 0.1658055198 0.1719858919
9000 0.1666666269 0.1658055198 0.1718852392
9360 0.1666666269 0.1658055198 0.1716587166
9720 0.1666666269 0.1658055198 0.171451977
10080 0.1666666269 0.1658055198 0.1712488818
10440 0.1666666269 0.1658055198 0.1709861038
10800 0.1666666269 0.1658055198 0.1707603542
11160 0.1666666269 0.1658055198 0.1705550498
11520 0.1666666269 0.1658055198 0.1703572069
11880 0.1666666269 0.1658055198 0.1701268904
12240 0.1666666269 0.1658055198 0.1699502381
12600 0.1666666269 0.1658055198 0.1697707747
12960 0.1666666269 0.1658055198 0.1695897514
13320 0.1666666269 0.1658055198 0.1694081802
13680 0.1666666269 0.1658055198 0.1692231196
14040 0.1666666269 0.1658055198 0.1690322206
14400 0.1666666269 0.1658055198 0.1688506004
14760 0.1666666269 0.1658055198 0.1686484856
15120 0.1666666269 0.1658055198 0.1684570982
15480 0.1666666269 0.1658055198 0.1682873926
15840 0.1666666269 0.1658055198 0.1680976718
16200 0.1666666269 0.1658055198 0.1679071843
16560 0.1666666269 0.1658055198 0.1677191309
16920 0.1666666269 0.1658055198 0.1675732203
17280 0.1666666269 0.1658055198 0.1674387199
17640 0.1666666269 0.1658055198 0.1673009761
18000 0.1666666269 0.1658055198 0.1671672403
18360 0.1666666269 0.1658055198 0.1670625673
18720 0.1666666269 0.1658055198 0.1669576826
19080 0.1666666269 0.1658055198 0.1668664536
19440 0.1666666269 0.1658055198 0.1667932292
19800 0.1666666269 0.1658055198 0.1667290239
20160 0.1666666269 0.1658055198 0.1666677903
20520 0.1666666269 0.1658055198 0.1666160775
20880 0.1666666269 0.1658055198 0.1665697691
21240 0.1666666269 0.1658055198 0.1665111026
21600 0.1666666269 0.1658055198 0.1664489795
21960 0.1666666269 0.1658055198 0.1663911918
22320 0.1666666269 0.1658055198 0.1663245869
22680 0.1666666269 0.1658055198 0.1662652747
23040 0.1666666269 0.1658055198 0.1662193736
23400 0.1666666269 0.1658055198 0.1661688667
23760 0.1666666269 0.1658055198 0.1661217872
24120 0.1666666269 0.1658055198 0.1660620043
24480 0.1666666269 0.1658055198 0.1659966191
24840 0.1666666269 0.1658055198 0.1659296459
25200 0.1666666269 0.1658055198 0.1658646604
25560 0.1666666269 0.1658055198 0.1658102934
25920 0.1666666269 0.1658055198 0.1657562074
26280 0.1666666269 0.1658055198 0.1657075963
