# n actual freq dirichlet
1800 0.5833333333 0.5900880363 0.5166759311
3600 0.5833333333 0.5900880363 0.5146936223
5400 0.5833333333 0.5900880363 0.5143022063
7200 0.5833333333 0.5900880363 0.5266889074
9000 0.5833333333 0.5900880363 0.5171469397
10800 0.5833333333 0.5900880363 0.6044492596
12600 0.5833333333 0.5900880363 0.599242405
14400 0.5833333333 0.5900880363 0.597352468
16200 0.5833333333 0.5900880363 0.5944163984
18000 0.5833333333 0.5900880363 0.5930889815
19800 0.5833333333 0.5900880363 0.5923951611
21600 0.5833333333 0.5900880363 0.5919654896
23400 0.5833333333 0.5900880363 0.5916722102
25200 0.5833333333 0.5900880363 0.5914588775
27000 0.5833333333 0.5900880363 0.5912965478
